"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"31-Mar",15.498,6.768691,,11.14412,0,0,16.31103,4.062857,8.626907,48.86301,0,0,8.281789,0.9426953,39.01199,0,26.21799,1.688498,9.53861,6.265207,9.661719,10.34769,0,0,0,11.93452,34.18387,10.04667,26.56579,8.224176,20.84336,14.52667,20.49051,11.43457,0,0,0,9,19
"1-Apr",0,5.823483,13.83519,3.29669,0,0,8.426182,11.84936,3.430916,3.608313,0,,0,31.33076,7.076575,0,12.97544,0,8.886764,16.20568,0,0,0,0,0,0,12.40283,8.798987,15.25521,2.54878,1.678598,8.432453,2.424363,9.48875,0,0,2.400137,0,0
"2-Apr",8.163258,0,0,6.115972,0,0,8.615373,0,16.28632,4.556438,0,0,0,42.542,21.84304,0,6.879221,0,3.437959,11.26239,0,11.49473,0,0,0,0,5.313548,25.74591,0,0,3.383972,17.89333,11.52606,2.711286,0,3.414917,8.708043,0,18
"3-Apr",6.025336,13.83619,4.033835,9.133368,0,0,18.40787,,11.73729,13.40868,0,7.411322,5.99868,0,17.40571,6.555037,0,2.862967,0,4.903219,0,7.679764,0,9.846921,0,0,7.042608,17.2755,0,7.230371,3.455171,10.65793,40.71645,6.972614,0,5.049292,0,9,15
"4-Apr",3.682773,12.87445,,0,0,1.728971,7.678851,38.34933,9.502435,5.526722,0,1.718275,0,8.592749,4.186687,3.413628,0,3.071407,4.295166,0,7.646955,13.21264,9.447342,7.699581,0,0,5.634491,4.98708,0,4.885846,19.72804,5.175198,11.77954,12.18089,0,23.0129,0,0,27
"5-Apr",6.26515,12.96746,9.329745,6.831178,0.9116051,4.971094,,10.81102,20.41594,8.1048,0,10.53127,5.082301,0,10.71817,17.39209,22.48417,7.134616,7.023408,5.048564,0,0,10.9129,6.656808,0,0,20.69174,0,0,11.0531,0,18.75306,3.467011,0,7.181901,0,0,0,24
"6-Apr",1.941206,0,8.416951,3.973645,11.05013,13.09222,,0,10.0026,6.028968,3.59553,11.7444,,1.592419,9.614503,12.79945,17.1038,0,0,4.099846,0,4.98198,13.80948,44.19911,5.173742,0,3.881153,6.950465,0,4.660533,9.475427,4.769344,3.064354,0.4035308,17.69267,7.067207,0,16,20
"7-Apr",2.429465,21.1966,84.90523,,0,20.72746,0,2.659878,18.66102,8.197191,0,11.52259,8.25423,7.704271,8.917111,5.255699,0,17.90771,39.54661,5.670306,2.410248,5.620044,4.709463,4.18088,0,0,2.231561,26.40739,7.894213,15.79221,15.74742,11.22768,9.122335,7.694755,3.815183,22.97621,0,9,31
"8-Apr",,2.461382,17.4852,4.373487,17.56156,0,5.280392,1.461476,19.39898,10.31633,0,13.72033,0,29.34133,8.934711,3.512313,3.37906,8.020773,22.03963,0,0,4.52767,8.85744,8.084445,0,0,12.14434,0,0,1.217406,0,0,4.827065,4.343583,3.102415,23.7998,0,0,18
"9-Apr",8.375015,1.544564,2.463846,13.14169,21.24959,3.581883,2.083033,0,6.587305,58.64305,6.353505,2.301521,0,0,4.388494,17.78224,5.883598,8.376385,8.966391,0,0,7.491458,6.542625,19.11031,0,17.48229,0,0,0,3.345079,3.660088,0,4.00628,9.078651,0,17.87132,9.134423,18,36
"10-Apr",3.316401,7.281279,13.25489,0,22.28319,31.27877,20.96072,0,2.581953,25.26741,0,11.38052,8.967937,0,2.577287,0,5.895901,13.10846,8.033775,4.27673,0,19.39854,60.81443,34.89032,4.808049,7.497389,6.629003,0,0,0,10.70551,0,3.830157,6.685887,0,12.27921,5.158322,18,8
"11-Apr",8.708684,3.354537,14.30288,2.102904,0,8.53532,19.50238,0,19.40528,38.48121,0,3.725956,12.14121,0,0,13.34396,7.59862,0,0,7.746131,0,5.681256,14.62179,3.959275,10.58971,12.5352,12.45908,0,0,0,15.44643,16.93076,1.128963,20.95293,0,17.7704,4.112568,9,39
